[2023-12-23 10:21:20.868] [info]  [Settings] Migrating launcher.json from 0.0.0 to 3.0.0
[2023-12-23 10:21:20.888] [info]  [Settings] Migrating launcher.json from 3.0.0 to 3.0.1
[2023-12-23 10:21:20.891] [info]  [Settings] Migrating launcher.json from 3.0.1 to 3.0.2
[2023-12-23 10:21:20.897] [info]  [Settings] Migrating launcher.json from 3.0.2 to 3.0.3
[2023-12-23 10:21:20.899] [info]  [Settings] Migrating launcher.json from 3.0.3 to 3.1.1
[2023-12-23 10:21:20.903] [info]  [Settings] Settings loaded.
[2023-12-23 10:21:20.912] [info]  [Cache] Cache loaded.
[2023-12-23 10:24:57.015] [info]  [Settings] Settings loaded.
[2023-12-23 10:24:57.029] [info]  [Cache] Cache loaded.
[2023-12-23 23:36:48.649] [info]  [Settings] Settings loaded.
[2023-12-23 23:36:48.662] [info]  [Cache] Cache loaded.
[2023-12-24 01:25:36.574] [info]  [Settings] Settings loaded.
[2023-12-24 01:25:36.587] [info]  [Cache] Cache loaded.
[2023-12-24 04:05:38.314] [info]  [Settings] Settings loaded.
[2023-12-24 04:05:38.328] [info]  [Cache] Cache loaded.
[2023-12-24 04:07:26.411] [info]  [Settings] Settings loaded.
[2023-12-24 04:07:26.424] [info]  [Cache] Cache loaded.
[2023-12-24 04:07:57.084] [info]  [Settings] Settings loaded.
[2023-12-24 04:07:57.098] [info]  [Cache] Cache loaded.
[2023-12-25 00:16:10.679] [info]  [Settings] Settings loaded.
[2023-12-25 00:16:10.693] [info]  [Cache] Cache loaded.
[2023-12-25 00:16:16.519] [info]  [Settings] Settings loaded.
[2023-12-25 00:16:16.532] [info]  [Cache] Cache loaded.
[2023-12-25 06:10:05.753] [info]  [Settings] Settings loaded.
[2023-12-25 06:10:05.767] [info]  [Cache] Cache loaded.
[2023-12-25 06:52:26.483] [info]  [Settings] Settings loaded.
[2023-12-25 06:52:26.495] [info]  [Cache] Cache loaded.
[2023-12-26 05:55:36.258] [info]  [Settings] Settings loaded.
[2023-12-26 05:55:36.272] [info]  [Cache] Cache loaded.
[2023-12-28 02:43:31.515] [info]  [Settings] Settings loaded.
[2023-12-28 02:43:31.528] [info]  [Cache] Cache loaded.
[2023-12-29 10:11:16.274] [info]  [Settings] Settings loaded.
[2023-12-29 10:11:16.288] [info]  [Cache] Cache loaded.
